update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
30,train,106.276665,0.34504855,299.9166666666667,599.8333333333334,12,0.1932695209980011,0.3865390419960022,3,2,0.15,0.33,5,5,6,5.5
30,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
31,train,149.5406,0.43507072,329.2083333333333,658.4166666666666,12,0.229117289185524,0.458234578371048,3,2,0.15,0.33,5,5,6,5.5
32,train,144.79128,0.39111415,354.3181818181818,708.6363636363636,11,0.20600998401641846,0.4120199680328369,3,2,0.15,0.33,5,5,6,5.5
33,train,128.9948,0.3543917,337.75,675.5,12,0.19296428561210632,0.38592857122421265,3,2,0.15,0.33,5,5,6,5.5
34,train,167.14029,0.44043905,361.40909090909093,722.8181818181819,11,0.23430375754833221,0.46860751509666443,3,2,0.15,0.33,5,5,6,5.5
35,train,129.18921,0.37637225,336.7083333333333,673.4166666666666,12,0.19095076620578766,0.3819015324115753,3,2,0.15,0.33,5,5,6,5.5
35,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
36,train,137.23465,0.40108523,325.625,651.25,12,0.20779649913311005,0.4155929982662201,3,2,0.15,0.33,5,5,6,5.5
37,train,146.96498,0.41091964,345.95454545454544,691.9090909090909,11,0.21298553049564362,0.42597106099128723,3,2,0.15,0.33,5,5,6,5.5
38,train,135.02788,0.37868536,338.5,677.0,12,0.19877119362354279,0.39754238724708557,3,2,0.15,0.33,5,5,6,5.5
39,train,129.9208869934082,0.41263546028991627,306.7916666666667,613.5833333333334,12,0.2220514416694641,0.4441028833389282,3,2,0.15,0.33,5,5,6,5.5
